movie,director,music,cast,plot_excerpt
Sivandha Mann,[[C. V. Sridhar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Kanchana (actress)|Kanchana]],"The Portuguese want to set up an [[Military base|army base]] in Vasanthapuri, a territory in [[Tamil Nadu]], India. They approach Diwan, a corrupt ruler of the area and decide to make him the king if he agrees to carry out the plan. He subsequently agrees, but none of the local people are happy and protest against this. Hence he starts killing them in large numbers. Ananth, who lost his father in the shootout, swears that he will have revenge for the outrage when his friend Bharat, son of the Inspector General Chandrasekar, returns from abroad.

Meanwhile, Chithralekha, the princess of Vasanthapuri, is living in [[Zurich]], Switzerland, and is completely unaware that her native place is in danger. She sees Bharat's photo in a local daily, and learns that he is also from Vasanthapuri. She reads that he came first in the [[University of Bern]], and develops an interest in meeting him. That night, Chithralekha meets him at a club and congratulates him for his performance, while introducing herself as ""Vasanthi"" to hide her true identity. Quickly, they both fall for each other. Bharat and Chithralekha enjoy as they start touring all over Europe, but when Chithralekha hears about the danger in her homeland, she has to return. Bharat also agrees to come, as he too is determined to save Vasanthapuri.

During the flight to India, one of the [[flight attendant]]s announces that Diwan wants to marry the princess and will receive her at the airport. Chitralekha is not happy and commands that the flight take a different turn, but the attendant stops her from trying to escape. Bharat fights the attendant, causing the flight to continuously spin, and in the process, the flight plunges into the sea. Bharat and Chitralekha are presumed dead, but are washed ashore onto an island unconscious. They are cured by two local doctors who befriend them, and arrange a special raft for their return. Bharat realises that ""Vasanthi"" is actually princess Chitralekha, but she advises him just to see her as his lover and not as the princess.

Bharat and Chitralekha arrive at Ananth's house, and he is surprised to see Bharat alive. However, Chitralekha takes the guise of a normal girl because she does not want anyone to know that the princess is still alive, and to aide Bharat. Her true identity remains a secret to everyone except Bharat. The next day, people again protest at Diwan, who starts killing them all; Ananth dies in the shootout. Ananth's mother also dies in the shock of her son's death, making Bharat and his friends more determined to save Vasanthapuri. They kill a few of Diwan's men, and seek shelter in a bar whose owner Dickie also becomes their ally. Bharat, Chithralekha and the rest of their gang secretly deal with Diwan and his army.

Later at Diwan's castle, ""Vasanthi"" finally reveals herself as princess Chithralekha, and shocks everyone. Diwan immediately kidnaps her and boards a [[hot air balloon]]. But Bharat manages to reach him and, after an intense fight, kills Diwan. Peace returns to Vasanthapuri, while Bharat and Chithralekha are married."
Anbai Thedi,[[Muktha Srinivasan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]],{{no plot|date=July 2021}}
Nallathoru Kudumbam,[[K. Vijayan]],[[Ilaiyaraaja]],[[Sivaji Ganesan]]<br />[[Vanisri]],"Raja and his friend, Vanisri get married as per the dying wish of Raja's grandfather. Their marital life gets affected due to a misunderstanding regarding one of Raja's ex-girlfriends Rajni when she calls him in his capacity as a doctor to save her son's life. Her son dies as Vanisri hides the call suspecting that they are having an affair. They break up with Sivaji taking their son. She is however pregnant and she brings up her son independently to show that a son without a father can do well, just as he endeavors to show that a son without mother can do well too. Both the sons grow up well and are studious while also being in love with their colleagues. They get married and the respective daughters-in-law mistreat both Sivaji and Vanisri. They realize that while sons had been their focus, they had lost their marital lives in the process. Situation forces them to come together so that they can fix their son's lives."
Sandhippu,[[C. V. Rajendran]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Radha (actress)|Radha]]<br />[[Sridevi]]<br />[[Prabhu (actor)|Prabhu]],"{{More plot|date=December 2024}}
Ramanathan, the trustee of the town temple, and Muthayya, the ''dharmagatha'', are highly respected figures in their community. Their families share a close bond.  

Rajavelu, who works for Ramanathan, uses his position as a cover to scout the temple and plot to steal its jewellery. With his partner Vedagiri, Rajavelu drugs Ramanathan, murders Muthayya, and robs the temple. When Ramanathan discovers their crime, they threaten his family, forcing him to sign a false confession before brutally assaulting him. The police, convinced of Ramanathan’s guilt, arrest him. Outraged, the townspeople drive Ramanathan’s wife, Lakshmi, and their sons, Raja and Vijay, out of town. The family is separated in the aftermath.  

Years later, Raja works as a club waiter and part-time boxer to support Vijay’s college education. Lakshmi, now an adoptive mother, raises Geetha, a singer who performs at the same club as Raja. Vijay falls in love with his classmate Chithra, unaware that she is Muthayya’s daughter. Meanwhile, Raja and Geetha develop feelings for each other, but Prem – Vedagiri’s son and the club’s new co-owner – also pursues Geetha.  

Rajavelu and Vedagiri have grown wealthy and now serve a mysterious and powerful criminal known as Don. When Rajavelu visits the club, Raja recognizes him and begins to investigate. His pursuit leads him to Don, who, to Raja’s shock, turns out to be his long-lost father, Ramanathan.  

Raja also reconnects with his childhood friend Vasanth, Rajavelu’s son and another co-owner of the club. As the situation grows more complex, Vasanth falls in love with Geetha, further complicating the love triangle.  

Now, Raja must unravel the tangled web of relationships, reunite his scattered family, and bring Rajavelu, Vedagiri, and the criminals to justice."
Ponnunjal (film),[[C. V. Rajendran]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Ushanandini]],{{No plot|date=October 2022}}
Thaaye Unakkaga,[[P. Pullayya]],[[K. V. Mahadevan]],"[[Thaaye Unakkaga#Cast|''See ""Cast""'']]",{{No plot|date=June 2021}}
Nichaya Thamboolam,[[B. S. Ranga]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Jamuna (actress)|Jamuna]],"{{more plot|date=August 2022}}
A senior police officer, Ranganathan, has a spoilt son, Raghuraman. Ranganathan's wife (Raghu's mother) Kamakshi is a kind-hearted lady. Raghu falls in love with Seetha, the daughter of a poor teacher, Ramanna. Ranganathan's family and Ramanna's family are related. When Seetha was born, both parents agreed that she should be married to Raghu and exchanged the Nichaya Thamboolam. However, due to their status, the families had been estranged from each other. Raghu marries Seetha and begets a child. But Raghu suspects Seetha's fidelity and walks out. To complicate matters further, Raghu is charged with the murder of his friend Pattusamy. Seetha takes the blame on herself in order to save Raghu. After more twists and turns it is revealed that Pattusamy is alive. The families come together and all live happily."
Manamagan Thevai,[[P. S. Ramakrishna Rao]],[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[P. Bhanumathi|Bhanumathi]],"{{more plot|date=August 2021}}
Bhanumathi, the daughter of a wealthy man, desires to marry a shy professor named Vijayakumar instead of the wealthy suitor her father chose. To escape from trouble, she creates the fake identity of a twin sister, and in the hodgepodge that ensues, ends up in bigger trouble."
Iru Medhaigal,[[Muktha Srinivasan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Saritha]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Radha (actress)|Radha]],"{{More plot|date=April 2024}}
Balaram kidnaps the children of rich but dishonorable people and ransoms them. Ranga is a car thief. The two men meet when Balaram mistakenly kidnaps Ranga assuming he is Rajalingam's nephew, Mahesh. The confusion is cleared up and they realise that they both are searching for the same person, Devaki. She is Ranga's long-lost older sister and she's also Balaram's ex-girlfriend. The two decide to continue working together while they search and kidnap Radha. She is the heiress to a great fortune left to her by her older brother Chandrasekar. Rajalingam is the manager of Radha's companies and refuses to hand over the ransom. Radha is convinced her guardian would give any ransom to see her safe. She works with the two men to get to the bottom of the mystery. Balaram and Ranga enter Radha's house under false pretenses and discover that Radha's guardian is Devaki. They also learn that Rajalingam seems to have an odd hold over her. The two must work to understand the circumstances that led Devaki to this situation and deal with Rajalingam."
Praptham,[[Savitri (actress)|Savitri]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />Savitri,{{No plot|date=July 2022}}
Dhavani Kanavugal,[[K. Bhagyaraj]],[[Ilaiyaraaja]],K. Bhagyaraj<br />[[Radhika Sarathkumar|Radhika]]<br />[[Sivaji Ganesan]],"Subramaniam ""Subramani"", an economics graduate from [[PSG College of Arts and Science|PSG College]] in [[Coimbatore]], struggles to make ends meet. With five younger sisters to support, he takes on menial jobs to provide for his family. Captain Chidambaram, a retired army officer, owns a cycle shop in the same village and rents a portion of his house to Subramani. Chidambaram is a well-wisher of Subramani's family, and his eldest sister even works part-time at the cycle shop. Subramani's mother arranges for his eldest sister to marry a mute groom, citing the absence of dowry demands. However, Captain Chidambaram intervenes, advising the eldest daughter to wait for a more suitable match rather than settling for an unsatisfactory arrangement.

Subramani gets into a physical altercation with a manager during an interview, leading to a court case. Fortunately, Captain Chidambaram comes to his rescue, arguing on his behalf and securing his release. The family's poverty takes a toll on Subramani's fourth sister, who hesitates to inform her family about her puberty, fearing the additional financial burden. Meanwhile, Subramani's cousin, who harbors feelings for him, provides clandestine support. However, her family proposes that Subramani leave his family and live with them, a condition he refuses, ultimately leading to his cousin's marriage to someone else. Unbeknownst to his family with Captain Chidambaram's help, he embarks on a journey to [[Madras]] to seek employment opportunities. In Madras, he encounters a young woman who poses as a police officer and convinces him to stay nearby. However, she is later revealed to be the daughter of Chidambaram's friend. Subramani first tries to break into the [[Tamil cinema|Tamil film industry]] as an actor but faces rejection. He then ventures into smuggling, only to meet with failure once again.

Once Subramani saves Chidambaram's friend's daughter from a group of miscreants, she eventually develops feelings for him. However, Subramani does not reciprocate her emotions. To maintain the illusion that Subramani has secured employment, Captain Chidambaram discreetly sends money to his family through money orders, with the help of postman Ponnusami. Chidambaram suffers a heart attack but refuses surgery, opting instead to allocate the funds to support Subramani's family. Meanwhile, the struggling Subramani is found lying unconscious on the street but is rescued by Chidambaram's friend's daughter. She offers him work in the film industry as a junior artist for a daily wage of Rs.25. Captain Chidambaram suffers a second heart attack, prompting him to transfer his properties to Subramani's mother's name. He also makes arrangements to provide a monthly stipend to Subramani's family, making it appear as though the support is coming from Subramani himself. Also, he builds his own grave and expresses his unwavering faith in Subramani's future success.

At the film shoot, Subramani impresses director [[Bharathiraja]] with his improvised dialogue, so he appoints Subramani as the film's hero and writer. Subramani's career as an actor takes off, and he achieves great success. On Bharathiraja's sister's advice, Subramani moves into Bharathiraja's house. Meanwhile, Captain Chidambaram, on his deathbed, requests that Subramani not be informed about his condition, asking his family to let Subramani focus on his career. After the film's success, Subramani arranges marriages for his three sisters. He also accepts the love of Chidambaram's friend's daughter. However, during the wedding ceremony, Subramani discovers that his sisters are not interested in marrying the groom Subramani had chosen as they were motivated by money. 

Subramani then realizes that his sisters are actually in love with three other men: a tailor, a laundry man, and Postman Ponnusami. These men had helped Subramani during his struggling days and were willing to marry his sisters without demanding any dowry. Subramani wholeheartedly accepts the three men as his brothers-in-law and agrees to their marriages."
